DISTRICT_NAME,YEAR,CROP_TYPE,AREA,PRODUCTION,YIELD,AUTUMN_HUMIDITY,SPRING_HUMIDITY,SUMMER_HUMIDITY,WINTER_HUMIDITY,AUTUMN_RAINFALL,SPRING_RAINFALL,SUMMER_RAINFALL,WINTER_RAINFALL,AUTUMN_TEMPERATURE,SPRING_TEMPERATURE,SUMMER_TEMPERATURE,WINTER_TEMPERATURE,AUTUMN_WIND_SPEED,SPRING_WIND_SPEED,SUMMER_WIND_SPEED,WINTER_WIND_SPEED
BHOJPUR,1985,PADDY,10600.0,15900.0,1500.0,7.04,4.81,11.84,2.93,61.7,59.22,545.79,24.05,7.07,10.84,14.54,1.56,2.25,3.21,2.49,2.72
BHOJPUR,1986,PADDY,10550.0,13780.0,1306.0,5.84,4.56,11.44,3.0,44.88,63.89,508.04,19.98,6.74,9.36,14.56,1.43,2.24,3.24,2.49,2.6
BHOJPUR,1987,PADDY,13380.0,18900.0,1413.0,6.81,4.47,11.88,3.01,36.43,71.69,667.72,6.88,7.68,9.57,14.89,2.57,2.05,3.07,2.47,2.44
BHOJPUR,1988,PADDY,13770.0,25040.0,1818.0,6.08,5.28,12.23,3.15,5.71,88.83,593.17,18.32,7.99,10.35,14.83,3.13,2.04,3.1,2.45,2.55
BHOJPUR,1990,PADDY,12820.0,28590.0,2230.0,6.04,5.22,12.09,2.87,29.73,50.94,467.75,6.61,7.96,9.57,15.19,2.88,2.21,3.12,2.54,2.61
BHOJPUR,1991,PADDY,12550.0,27780.0,2214.0,5.55,4.22,12.08,2.66,1.55,22.9,531.18,13.31,6.82,10.54,14.95,1.77,2.19,3.31,2.49,2.7
BHOJPUR,1992,PADDY,12250.0,24500.0,2000.0,5.84,4.23,11.17,2.51,15.11,48.2,436.26,8.37,7.7,10.31,14.72,1.04,2.21,3.47,2.52,2.69
BHOJPUR,1993,PADDY,17400.0,38240.0,2198.0,5.67,4.97,11.61,2.51,5.14,80.58,305.66,10.17,8.45,9.41,15.27,2.7,2.26,3.16,2.64,2.71
BHOJPUR,1994,PADDY,14401.0,30000.0,2083.0,4.81,4.39,11.72,2.38,9.05,36.07,295.42,17.35,7.57,10.55,15.72,1.87,2.3,3.21,2.53,2.86
BHOJPUR,1995,PADDY,17196.0,37917.0,2205.0,5.78,4.2,12.07,2.46,63.36,39.15,381.01,18.32,8.13,10.68,15.3,1.1,2.32,3.4,2.63,2.86
BHOJPUR,1996,PADDY,17290.0,38050.0,2201.0,5.75,4.51,11.76,2.56,14.06,31.35,395.72,22.46,8.12,10.8,14.88,1.79,2.39,3.29,2.47,2.72
BHOJPUR,1997,PADDY,17300.0,37540.0,2170.0,5.53,4.41,11.58,2.35,3.47,67.82,392.14,20.36,7.03,9.26,15.05,0.78,2.4,3.13,2.52,2.87
BHOJPUR,1998,PADDY,17350.0,48620.0,2802.0,7.28,5.56,12.27,2.53,41.72,76.65,440.01,1.54,9.43,10.21,15.48,2.22,2.15,3.12,2.53,2.75
BHOJPUR,1999,PADDY,18330.0,44825.0,2445.0,6.16,4.62,11.87,2.7,40.91,60.37,377.1,7.49,8.36,11.43,15.17,3.25,2.26,3.15,2.57,2.54
BHOJPUR,2000,PADDY,18805.0,46279.0,2461.0,6.41,5.35,12.09,2.31,5.61,73.21,427.37,3.08,8.54,10.04,14.9,1.4,2.25,3.04,2.6,2.82
BHOJPUR,2001,PADDY,15129.0,32470.0,2146.0,6.78,5.2,12.17,2.4,49.75,60.89,405.28,1.47,8.43,10.26,15.38,2.34,2.09,3.05,2.53,2.78
BHOJPUR,2002,PADDY,18918.0,45750.0,2418.0,5.87,6.03,11.77,2.89,14.78,94.1,362.59,15.93,7.92,10.27,15.11,2.33,2.25,2.9,2.54,2.67
BHOJPUR,2003,PADDY,18918.0,45750.0,2418.0,6.18,5.21,12.14,2.95,59.53,37.58,424.94,41.78,8.03,9.9,15.26,1.75,2.27,3.08,2.49,2.5
BHOJPUR,2004,PADDY,12300.0,29741.4,2418.0,6.41,5.98,12.34,3.41,38.12,115.32,679.63,8.96,6.5,11.0,14.56,1.85,2.05,2.97,2.48,2.48
BHOJPUR,2005,PADDY,12300.0,29741.4,2418.0,6.51,5.56,12.07,3.35,56.77,105.89,595.71,18.87,7.18,9.68,15.11,1.74,2.17,3.06,2.47,2.74
BHOJPUR,2006,PADDY,12030.0,29064.48,2416.0,6.82,5.83,12.19,3.44,16.71,82.18,611.33,5.23,7.3,10.21,14.93,3.69,2.12,2.92,2.45,2.62
BHOJPUR,2007,PADDY,15361.0,36866.0,2400.0,7.33,6.23,12.41,3.31,17.71,126.97,704.46,26.01,8.15,10.44,14.84,1.58,1.97,2.82,2.44,2.55
BHOJPUR,2008,PADDY,15361.0,36866.0,2400.0,7.18,5.94,12.43,3.59,36.75,97.05,645.06,15.6,8.18,9.99,14.59,1.81,2.09,2.88,2.39,2.83
BHOJPUR,2009,PADDY,15300.0,35600.0,2327.0,6.21,5.42,12.03,3.27,73.12,127.46,459.88,1.66,7.69,10.38,15.23,3.03,2.33,3.06,2.54,2.61
BHOJPUR,2010,PADDY,16103.0,37632.711,2337.0,7.81,5.63,12.43,2.91,34.9,116.76,798.61,3.96,8.28,11.39,14.81,2.13,2.03,3.08,2.52,2.57
BHOJPUR,2011,PADDY,16110.0,42341.0,2628.0,7.56,6.16,12.44,3.47,16.4,117.62,804.99,14.9,8.06,9.62,14.56,1.41,1.95,2.83,2.35,2.69
BHOJPUR,2012,PADDY,16150.0,44299.0,2743.0,5.41,5.27,12.24,3.11,20.5,80.37,634.37,9.5,6.59,10.0,15.21,1.05,2.28,3.21,2.36,2.91
BHOJPUR,2013,PADDY,17150.0,48340.0,2819.0,7.28,5.58,12.45,3.1,126.57,149.92,715.77,32.75,7.68,10.28,14.95,1.6,2.14,2.95,2.23,2.68
BHOJPUR,2014,PADDY,16093.0,35893.0,2230.0,7.09,5.45,12.7,3.51,7.25,140.6,635.72,14.49,8.05,9.92,15.1,2.05,2.1,3.02,2.46,2.7
BHOJPUR,2015,PADDY,16093.0,36970.0,2297.0,7.24,6.55,12.64,3.67,24.9,196.78,718.58,8.92,8.55,9.86,14.96,2.28,1.96,2.85,2.49,2.6
BHOJPUR,2016,PADDY,18092.0,38818.0,2146.0,7.84,6.03,13.02,3.8,53.82,166.39,816.0,13.02,8.7,11.06,14.9,3.25,2.07,3.12,2.39,2.55
BHOJPUR,2017,PADDY,17126.0,38236.0,2233.0,7.81,6.6,12.84,3.83,45.0,179.41,696.19,3.96,8.46,9.83,15.04,3.28,2.11,3.03,2.51,2.53
BHOJPUR,2018,PADDY,16197.0,38225.0,2360.0,6.41,6.68,12.91,3.39,0.43,5.52,21.81,0.27,7.04,9.81,15.14,2.17,2.27,2.77,2.4,2.62
BHOJPUR,2019,PADDY,14112.0,33475.0,2370.0,7.91,6.22,12.78,3.61,0.4,4.96,25.2,1.37,8.52,9.7,15.14,1.19,2.05,2.94,2.51,2.73
CHITWAN,1981,PADDY,24930.0,62000.0,2487.0,9.19,7.74,17.2,4.8,33.08,192.84,956.31,44.92,19.08,24.32,25.73,14.43,1.72,2.46,2.19,1.9
CHITWAN,1982,PADDY,27920.0,56160.0,2011.0,8.42,6.8,16.23,4.57,10.94,79.56,686.71,88.36,19.73,24.45,26.68,14.26,1.88,2.62,2.18,1.94
CHITWAN,1983,PADDY,28780.0,74110.0,2575.0,8.77,5.71,15.41,3.26,79.52,71.03,398.85,7.79,20.54,24.64,27.8,14.1,1.88,2.76,2.38,2.04
CHITWAN,1984,PADDY,28870.0,76390.0,2646.0,8.22,5.29,17.13,3.44,19.35,40.55,834.89,24.37,19.54,26.46,25.4,14.23,1.82,2.86,2.22,2.06
CHITWAN,1985,PADDY,29370.0,82240.0,2800.0,10.76,4.71,16.0,4.25,80.88,28.9,743.29,29.78,18.49,26.53,26.41,14.4,1.64,2.88,2.26,2.01
CHITWAN,1986,PADDY,29720.0,70030.0,2356.0,6.78,5.19,15.56,4.24,32.1,46.45,527.83,47.49,20.14,25.06,26.28,14.69,1.98,2.76,2.3,2.03
CHITWAN,1987,PADDY,28500.0,87650.0,3075.0,9.52,4.98,15.86,3.9,104.43,33.99,704.52,14.95,19.14,25.3,26.88,15.41,1.6,2.72,2.21,1.97
CHITWAN,1988,PADDY,27830.0,75140.0,2700.0,8.53,6.24,17.31,4.08,15.03,124.88,775.18,27.37,20.7,25.61,26.06,15.74,1.84,2.64,2.13,2.0
CHITWAN,1990,PADDY,28000.0,92300.0,3296.0,8.91,5.78,17.1,3.91,13.98,30.38,878.99,24.48,20.4,25.32,26.16,15.67,1.82,2.72,2.17,2.01
CHITWAN,1991,PADDY,30500.0,96420.0,3161.0,6.87,4.39,16.46,3.59,3.12,39.06,454.91,30.68,20.2,26.38,26.92,15.47,1.97,2.79,2.4,2.12
CHITWAN,1992,PADDY,25340.0,73480.0,2900.0,8.22,4.54,15.12,3.65,70.42,21.87,478.85,5.39,20.42,26.03,27.07,14.32,1.96,3.15,2.38,2.02
CHITWAN,1993,PADDY,25620.0,66870.0,2610.0,7.14,5.7,15.94,3.09,5.83,95.75,493.61,7.88,20.84,24.49,26.97,15.4,1.98,2.73,2.34,2.05
CHITWAN,1994,PADDY,27151.0,73550.0,2709.0,6.9,4.87,16.06,3.44,4.49,20.46,488.15,21.77,20.51,26.16,27.38,15.34,2.02,2.87,2.34,2.1
CHITWAN,1995,PADDY,30500.0,79758.0,2615.0,7.91,4.74,16.98,3.56,39.74,19.84,591.79,26.35,20.92,26.3,26.48,14.61,1.96,2.99,2.21,2.12
CHITWAN,1996,PADDY,31000.0,82150.0,2650.0,8.2,5.35,16.56,3.79,41.28,58.51,554.95,56.0,20.1,26.21,26.27,14.68,1.92,2.86,2.16,2.05
CHITWAN,1997,PADDY,32250.0,85462.0,2650.0,6.94,5.0,15.66,3.25,9.16,48.21,383.82,23.19,20.71,24.75,27.18,14.04,1.97,2.76,2.38,2.08
CHITWAN,1998,PADDY,32300.0,87210.0,2700.0,10.3,6.32,16.89,3.51,41.77,56.97,631.61,5.54,21.72,25.1,26.82,14.88,1.76,2.67,2.35,2.04
CHITWAN,1999,PADDY,33685.0,92500.0,2746.0,7.96,4.78,16.02,3.44,59.7,50.65,369.19,6.53,20.69,26.46,27.04,16.26,1.9,2.83,2.4,2.06
CHITWAN,2000,PADDY,33700.0,103830.0,3081.0,8.58,5.86,17.32,3.03,4.93,68.21,679.65,3.52,20.82,25.68,25.82,14.74,1.89,2.68,2.17,2.09
CHITWAN,2001,PADDY,33800.0,112025.0,3314.0,9.32,6.25,17.05,3.2,28.24,68.04,583.54,0.42,20.58,25.7,26.7,15.03,1.83,2.71,2.18,2.02
CHITWAN,2002,PADDY,31876.0,98815.0,3100.0,7.69,6.73,15.42,3.9,18.04,74.92,334.19,39.96,21.29,25.68,27.66,15.3,1.92,2.72,2.34,2.01
CHITWAN,2003,PADDY,32600.0,91280.0,2800.0,7.85,5.37,16.36,4.29,23.79,18.86,422.37,52.84,20.85,25.47,27.13,14.52,1.86,2.59,2.37,1.95
CHITWAN,2004,PADDY,33465.0,93702.0,2800.0,9.41,7.37,17.74,4.77,84.13,210.05,970.31,27.98,18.9,25.67,25.17,14.72,1.62,2.52,2.08,1.87
CHITWAN,2005,PADDY,32972.0,78280.0,2374.0,10.25,6.17,16.95,5.15,191.17,64.33,893.78,59.27,18.85,25.22,26.28,14.82,1.6,2.52,2.09,1.85
CHITWAN,2006,PADDY,28717.0,80407.6,2800.0,10.34,7.86,17.88,4.93,37.15,194.79,972.42,17.85,19.66,24.65,25.28,15.75,1.64,2.41,1.99,1.86
CHITWAN,2007,PADDY,32755.0,105700.0,3227.0,11.36,8.59,17.55,4.95,35.84,141.03,1096.46,97.93,19.33,24.72,25.68,13.81,1.52,2.35,2.11,1.79
CHITWAN,2008,PADDY,32755.0,107815.0,3292.0,11.82,6.87,18.21,5.36,35.9,145.19,1428.69,14.21,19.55,25.09,24.84,14.35,1.47,2.49,1.99,1.76
CHITWAN,2009,PADDY,29605.0,85406.0,2885.0,9.5,6.71,17.05,4.9,65.33,146.58,820.09,5.01,19.8,25.31,26.31,15.61,1.7,2.57,2.08,1.86
CHITWAN,2010,PADDY,32770.0,110944.0,3386.0,12.08,6.36,17.14,4.55,45.64,49.69,1032.2,16.85,19.84,27.06,26.32,14.89,1.58,2.76,2.3,1.84
CHITWAN,2011,PADDY,29655.0,103495.95,3490.0,11.38,7.79,17.68,4.88,7.92,177.52,1039.87,15.83,19.57,24.61,25.42,14.03,1.58,2.51,2.1,1.86
CHITWAN,2012,PADDY,28625.0,94800.0,3312.0,10.16,5.67,16.73,4.93,46.36,41.42,1120.65,26.82,17.96,25.63,26.46,13.89,1.54,2.79,2.11,1.88
CHITWAN,2013,PADDY,29575.0,100555.0,3400.0,11.8,7.55,17.99,5.71,191.66,168.54,1284.0,62.45,19.16,24.72,25.14,13.61,1.56,2.55,1.86,1.87
CHITWAN,2014,PADDY,29400.0,103500.0,3520.0,10.92,7.37,17.85,5.81,100.44,158.87,1337.56,55.66,19.14,25.0,26.12,14.02,1.62,2.65,1.97,1.74
CHITWAN,2015,PADDY,27342.0,92925.0,3399.0,10.28,9.04,17.63,5.75,69.31,283.35,1394.06,43.54,20.27,24.16,26.05,14.78,1.64,2.35,2.05,1.87
CHITWAN,2016,PADDY,29300.0,108996.0,3720.0,11.14,7.28,18.53,5.01,143.75,196.52,1395.33,7.83,19.94,26.33,25.62,15.55,1.58,2.74,1.96,1.87
CHITWAN,2017,PADDY,27735.0,107362.0,3871.0,11.8,8.73,18.48,5.35,49.89,324.61,1364.67,10.69,20.52,24.63,26.06,16.24,1.64,2.32,2.15,1.79
CHITWAN,2018,PADDY,26539.0,105360.0,3970.0,9.47,8.86,18.64,4.59,0.11,11.43,35.3,0.26,19.78,24.42,25.71,14.75,1.74,2.46,2.1,1.9
CHITWAN,2019,PADDY,26005.0,104075.0,4000.0,12.28,8.32,18.36,5.71,2.41,8.2,43.82,4.98,19.4,24.49,26.08,14.0,1.44,2.4,2.09,1.91
DADELDHURA,1981,PADDY,2000.0,3450.0,1725.0,6.3,6.28,14.42,4.02,45.81,160.5,732.19,78.84,14.89,19.97,22.88,9.66,1.88,2.34,2.0,1.91
DADELDHURA,1982,PADDY,5380.0,8630.0,1604.0,6.74,7.13,13.36,3.94,9.36,130.06,532.05,112.49,15.36,18.56,23.38,9.76,1.94,2.44,2.13,1.91
DADELDHURA,1983,PADDY,5390.0,5760.0,1069.0,7.28,5.44,13.63,3.36,71.56,63.05,663.27,37.86,14.77,19.35,23.69,9.08,1.78,2.58,2.05,1.95
DADELDHURA,1984,PADDY,5420.0,7390.0,1363.0,5.78,5.01,14.78,3.22,11.26,31.61,574.05,64.4,15.49,21.63,22.7,9.38,2.01,2.69,1.93,2.04
DADELDHURA,1985,PADDY,6500.0,7280.0,1120.0,8.12,4.45,14.14,3.33,103.58,64.26,636.78,52.03,14.57,21.74,22.93,10.02,1.74,2.74,2.02,2.05
DADELDHURA,1986,PADDY,6400.0,6920.0,1081.0,5.96,5.0,13.32,3.68,14.22,58.74,669.2,59.37,15.24,19.86,22.76,9.96,1.94,2.63,1.96,1.95
DADELDHURA,1987,PADDY,6350.0,9520.0,1499.0,4.46,5.13,11.85,3.07,28.98,69.07,273.62,36.33,16.72,19.96,25.15,11.34,2.03,2.61,2.18,1.95
DADELDHURA,1988,PADDY,6500.0,12350.0,1900.0,6.78,4.73,14.82,3.68,1.38,76.35,686.22,114.33,15.98,21.26,23.06,11.28,1.96,2.69,1.96,1.91
DADELDHURA,1990,PADDY,6500.0,13000.0,2000.0,6.57,5.94,14.62,3.51,3.5,67.89,520.23,82.31,16.18,19.73,23.34,11.55,1.94,2.52,2.02,2.0
DADELDHURA,1991,PADDY,6500.0,11700.0,1800.0,5.24,4.36,13.65,3.36,3.09,61.56,336.45,46.58,15.6,21.01,24.0,10.59,2.0,2.68,2.08,1.99
DADELDHURA,1992,PADDY,6360.0,9410.0,1480.0,6.34,4.15,13.21,3.3,50.67,22.05,419.46,8.06,15.76,20.79,23.48,10.42,1.95,2.72,2.13,1.96
DADELDHURA,1993,PADDY,6200.0,11160.0,1800.0,4.42,4.74,13.86,2.72,0.02,59.05,335.64,26.07,16.9,19.78,23.7,11.41,2.12,2.58,2.1,2.02
DADELDHURA,1994,PADDY,6299.0,10740.0,1705.0,6.06,4.49,14.18,3.27,0.15,22.52,433.19,48.75,16.0,21.28,23.82,10.77,2.04,2.7,2.03,2.06
DADELDHURA,1995,PADDY,6983.0,15649.0,2241.0,6.46,4.52,13.9,3.42,14.93,14.61,411.59,57.71,16.54,21.04,23.86,9.85,2.0,2.57,2.14,2.04
DADELDHURA,1996,PADDY,7060.0,13460.0,1907.0,7.06,5.18,14.68,3.35,20.34,45.14,503.54,88.1,15.76,21.06,23.04,10.6,1.89,2.61,2.05,1.99
DADELDHURA,1997,PADDY,7100.0,15630.0,2201.0,6.04,4.9,14.02,3.06,16.58,51.43,332.41,68.82,15.5,19.55,23.57,9.43,1.9,2.55,2.1,2.04
DADELDHURA,1998,PADDY,7020.0,16145.0,2300.0,8.06,5.49,14.5,3.42,68.55,89.96,343.02,9.88,17.33,20.11,24.04,10.54,1.9,2.5,2.16,1.92
DADELDHURA,1999,PADDY,7018.0,14036.0,2000.0,5.56,3.59,13.86,2.98,24.73,19.91,305.6,24.23,16.6,21.95,23.96,11.47,2.0,2.8,2.1,2.01
DADELDHURA,2000,PADDY,7023.0,16855.0,2400.0,6.46,4.93,15.32,2.84,0.53,109.35,654.75,25.46,16.27,21.05,22.26,10.22,1.92,2.63,1.93,2.05
DADELDHURA,2001,PADDY,7023.0,17557.0,2500.0,5.95,5.23,15.05,2.55,17.34,58.27,586.78,5.6,16.9,20.59,23.01,11.43,1.96,2.54,1.91,2.03
DADELDHURA,2002,PADDY,6847.0,15748.0,2300.0,6.3,4.9,12.77,3.4,5.8,31.57,371.86,114.71,16.42,21.63,24.31,10.56,2.0,2.6,2.13,2.02
DADELDHURA,2003,PADDY,6900.0,15870.0,2300.0,6.93,4.62,14.48,3.89,36.77,12.69,698.21,59.38,15.78,20.67,23.48,10.27,1.84,2.6,1.97,1.94
DADELDHURA,2004,PADDY,6835.0,19753.0,2890.0,7.03,5.64,14.73,4.03,42.83,130.48,692.72,32.54,14.92,21.88,22.52,10.73,1.81,2.61,1.93,1.88
DADELDHURA,2005,PADDY,6840.0,15748.0,2302.0,7.56,6.07,14.52,4.09,14.82,104.03,943.14,81.15,15.15,19.94,23.18,9.93,1.74,2.4,1.98,1.96
DADELDHURA,2006,PADDY,6217.0,14299.1,2300.0,7.58,7.01,15.18,3.81,23.34,156.85,753.96,23.19,16.0,19.82,22.55,12.53,1.86,2.28,1.84,1.94
DADELDHURA,2007,PADDY,6217.0,14313.0,2302.0,7.86,7.56,15.53,3.77,3.1,191.9,1021.89,108.91,15.43,19.82,22.64,10.38,1.69,2.3,1.9,1.94
DADELDHURA,2008,PADDY,6221.0,17500.0,2813.0,9.0,5.63,15.94,4.06,15.26,83.97,1129.0,13.09,15.82,20.56,21.66,10.52,1.58,2.47,1.76,1.87
DADELDHURA,2009,PADDY,6221.0,13064.0,2100.0,7.68,5.51,14.11,4.1,139.63,46.43,768.67,19.38,15.21,21.0,23.78,11.71,1.77,2.52,2.04,1.94
DADELDHURA,2010,PADDY,28541.0,14123.0,495.0,9.5,5.17,14.54,4.16,43.45,30.74,1179.42,53.45,16.07,22.64,23.2,10.55,1.66,2.65,1.94,1.92
DADELDHURA,2011,PADDY,6221.0,15182.0,2440.0,9.2,6.8,15.65,4.29,3.05,93.38,1283.14,72.8,15.64,19.87,22.18,9.83,1.64,2.41,1.78,1.88
DADELDHURA,2012,PADDY,6221.0,16414.0,2638.0,8.43,5.39,14.58,4.36,5.39,44.9,797.15,61.81,15.24,20.23,23.72,9.61,1.8,2.49,2.09,1.96
DADELDHURA,2013,PADDY,6221.0,18066.0,2904.0,9.49,6.61,16.63,5.15,50.49,31.37,1249.0,201.86,16.06,21.05,22.13,9.81,1.66,2.5,1.96,1.87
DADELDHURA,2014,PADDY,5221.0,19000.0,3639.0,7.85,6.84,14.82,4.6,41.03,83.7,724.52,142.89,16.38,19.98,23.77,10.42,1.88,2.43,2.09,1.87
DADELDHURA,2015,PADDY,5225.0,17419.0,3334.0,7.5,8.0,14.91,4.63,17.7,227.43,622.99,103.47,17.32,19.42,23.22,10.88,1.98,2.26,2.06,1.96
DADELDHURA,2016,PADDY,6226.0,23523.0,3778.0,7.5,6.69,16.17,3.51,7.25,112.75,729.12,28.84,16.97,21.71,22.92,12.16,1.88,2.53,1.97,1.97
DADELDHURA,2017,PADDY,5893.0,23170.0,3932.0,8.52,6.53,15.92,4.18,0.88,142.55,820.72,32.84,16.55,21.08,23.1,12.24,1.84,2.41,1.98,1.97
DADELDHURA,2018,PADDY,5917.0,23372.0,3950.0,8.06,6.56,15.98,3.83,0.43,4.69,28.95,0.61,15.18,21.13,23.03,11.2,1.78,2.55,2.01,1.99
DADELDHURA,2019,PADDY,5876.0,22211.0,3780.0,8.77,6.78,15.5,4.71,0.96,2.56,23.66,7.71,16.36,19.86,23.44,9.04,1.69,2.4,2.0,1.91
DAILEKH,1981,PADDY,4070.0,7530.0,1850.0,7.22,6.71,14.64,4.44,51.88,179.89,923.16,88.87,13.96,18.8,22.1,9.1,1.94,2.44,2.08,1.97
DAILEKH,1982,PADDY,3460.0,6400.0,1850.0,7.21,6.94,13.7,4.17,11.05,107.86,682.49,131.19,14.44,18.05,22.57,9.26,1.98,2.64,2.16,2.0
DAILEKH,1983,PADDY,3460.0,7930.0,2292.0,8.3,5.44,13.66,3.6,87.87,56.61,815.01,43.64,14.2,18.79,23.04,8.61,1.84,2.82,2.14,2.02
DAILEKH,1984,PADDY,3250.0,5680.0,1748.0,6.31,5.55,14.92,3.58,18.0,40.14,698.21,70.34,14.68,20.43,21.89,8.92,2.06,2.75,2.03,2.12
DAILEKH,1985,PADDY,4200.0,6380.0,1519.0,8.68,4.53,14.2,3.64,118.08,74.86,741.8,50.67,14.06,20.96,22.24,9.66,1.78,2.98,2.12,2.19
DAILEKH,1986,PADDY,4140.0,6290.0,1519.0,6.46,5.07,13.68,3.92,19.43,59.48,783.0,56.08,14.28,19.08,22.03,9.54,2.01,2.77,2.04,2.01
DAILEKH,1987,PADDY,4300.0,6020.0,1400.0,5.14,5.21,12.43,3.31,44.48,77.25,382.35,37.15,15.72,19.2,24.02,10.76,2.11,2.77,2.28,2.06
DAILEKH,1988,PADDY,5000.0,8500.0,1700.0,7.77,4.96,15.11,3.86,2.78,96.25,962.45,124.16,14.92,20.49,22.31,10.8,1.92,2.85,2.06,2.05
DAILEKH,1990,PADDY,5000.0,9000.0,1800.0,7.4,5.84,14.77,3.7,4.51,73.57,722.02,85.26,15.18,19.23,22.52,10.87,1.94,2.74,2.05,2.19
DAILEKH,1991,PADDY,5000.0,8100.0,1620.0,5.7,4.28,14.04,3.57,4.33,46.73,449.57,50.92,14.86,20.51,23.18,10.13,2.11,2.88,2.2,2.13
DAILEKH,1992,PADDY,4950.0,7870.0,1590.0,6.98,4.32,13.62,3.39,45.79,28.09,645.48,5.98,14.82,20.1,22.41,9.77,2.04,3.03,2.15,2.13
DAILEKH,1993,PADDY,5100.0,9380.0,1839.0,4.72,4.8,13.96,2.91,0.07,77.19,397.38,22.09,16.08,19.0,22.92,10.74,2.25,2.8,2.22,2.18
DAILEKH,1994,PADDY,5380.0,9845.0,1830.0,5.82,4.46,14.14,3.24,0.79,21.38,441.62,45.25,15.35,20.58,23.33,10.28,2.21,2.94,2.23,2.28
DAILEKH,1995,PADDY,5646.0,10163.0,1800.0,6.34,4.44,14.0,3.34,17.9,9.56,457.57,42.06,16.11,20.53,23.23,9.59,2.11,2.83,2.27,2.23
DAILEKH,1996,PADDY,5700.0,10540.0,1849.0,7.01,4.97,14.45,3.21,28.96,35.58,423.62,78.54,15.48,20.53,22.58,10.26,2.02,2.86,2.22,2.22
DAILEKH,1997,PADDY,5747.0,11494.0,2000.0,5.9,4.61,13.57,2.99,13.37,31.46,290.47,67.99,15.21,19.14,23.32,9.13,2.06,2.82,2.34,2.22
DAILEKH,1998,PADDY,5750.0,11500.0,2000.0,7.82,5.49,14.41,3.25,51.36,82.48,360.28,11.9,17.14,19.58,23.55,10.25,2.02,2.71,2.33,2.08
DAILEKH,1999,PADDY,5847.0,12494.0,2137.0,5.76,3.66,13.76,2.98,32.74,33.92,304.15,21.96,16.09,21.23,23.33,11.15,2.16,2.99,2.26,2.2
DAILEKH,2000,PADDY,8547.0,17584.0,2057.0,7.08,4.87,15.2,2.9,0.5,97.46,729.2,25.63,15.38,20.53,21.74,9.81,2.0,2.81,2.07,2.2
DAILEKH,2001,PADDY,8547.0,16785.0,1964.0,6.42,5.19,15.01,2.84,28.51,46.88,597.14,1.85,16.08,20.06,22.5,10.66,2.06,2.73,2.02,2.2
DAILEKH,2002,PADDY,8600.0,16620.0,1933.0,6.18,4.9,12.96,3.37,7.91,21.89,336.32,97.54,16.1,20.92,23.7,10.34,2.16,2.79,2.27,2.19
DAILEKH,2003,PADDY,8600.0,17300.0,2012.0,6.87,4.6,14.36,3.7,32.01,9.29,574.7,55.01,15.54,19.99,22.98,10.07,2.01,2.78,2.1,2.13
DAILEKH,2004,PADDY,8600.0,20640.0,2400.0,7.4,5.66,14.97,4.02,39.31,150.45,761.73,33.38,14.2,21.17,21.83,10.4,1.9,2.76,2.02,2.03
DAILEKH,2005,PADDY,8600.0,20640.0,2400.0,8.04,6.03,14.51,4.26,40.14,110.21,1009.7,82.62,14.42,19.24,22.59,9.7,1.82,2.56,2.09,2.06
DAILEKH,2006,PADDY,8600.0,22360.0,2600.0,8.03,7.18,15.4,4.21,25.57,177.03,890.02,23.49,15.05,19.02,21.8,11.75,1.94,2.38,1.93,2.09
DAILEKH,2007,PADDY,8200.0,20500.0,2500.0,8.67,7.8,15.51,4.07,5.97,222.97,1144.66,126.94,14.85,18.99,21.99,9.74,1.76,2.42,2.0,2.08
DAILEKH,2008,PADDY,8200.0,20500.0,2500.0,9.36,5.96,15.88,4.49,10.87,107.2,1308.45,14.15,15.3,19.63,21.09,9.92,1.69,2.58,1.84,1.96
DAILEKH,2009,PADDY,8507.0,24755.0,2910.0,8.11,5.93,14.24,4.4,153.83,59.29,816.36,21.99,14.61,20.07,23.02,11.06,1.9,2.63,2.17,2.06
DAILEKH,2010,PADDY,13870.0,26414.0,1904.0,9.86,5.64,14.72,4.36,53.64,45.16,1137.49,48.74,15.51,21.57,22.63,9.98,1.78,2.75,2.04,2.0
DAILEKH,2011,PADDY,8507.0,28073.0,3300.0,9.64,6.95,15.56,4.54,0.95,94.08,1433.15,72.69,15.1,19.09,21.72,9.36,1.74,2.55,1.94,2.01
DAILEKH,2012,PADDY,8507.0,25953.0,3051.0,8.91,5.7,14.53,4.65,5.56,46.22,970.9,76.4,14.46,19.39,22.93,9.11,1.79,2.65,2.21,2.07
DAILEKH,2013,PADDY,8307.0,25464.0,3065.0,10.07,6.77,16.37,5.41,74.01,35.15,1438.05,179.68,15.44,20.13,21.49,9.36,1.72,2.57,2.09,2.0
DAILEKH,2014,PADDY,8307.0,26161.0,3149.0,8.59,6.84,14.83,4.9,42.39,71.84,932.18,111.14,15.2,19.4,22.97,9.77,1.93,2.53,2.19,2.0
DAILEKH,2015,PADDY,8307.0,26529.0,3194.0,8.07,8.01,15.11,4.9,27.37,238.07,821.93,83.48,16.07,18.7,22.41,10.16,1.96,2.34,2.15,2.05
DAILEKH,2016,PADDY,8407.0,26274.0,3125.0,8.5,6.73,16.18,4.01,44.4,136.77,956.05,31.39,15.88,20.82,22.2,11.21,1.88,2.58,2.12,2.08
